Date,Open,High,Low,Close,Volume Traded,Value Traded (SAR),Number of Trades,Index,Month,Quarter,Daily_Return_Pct
2025-08-20,10855.41,10910.45,10844.54,10878.07,179291416.0,4211407304.96,485807.0,Tadwul All Share Index (TASI),2025-08,2025Q3,0.10343402813883795
2025-08-19,10878.35,10896.89,10851.25,10881.71,189346598.0,4020552731.44,475710.0,Tadwul All Share Index (TASI),2025-08,2025Q3,0.033461818135016586
2025-08-18,10897.08,10902.52,10847.07,10885.58,202290917.0,3869385109.53,461329.0,Tadwul All Share Index (TASI),2025-08,2025Q3,0.03556426333728435
2025-08-17,10831.56,10898.46,10831.26,10897.39,167151108.0,3219830738.64,351130.0,Tadwul All Share Index (TASI),2025-08,2025Q3,0.10849215200292583
2025-08-14,10765.37,10833.59,10752.43,10833.59,200384878.0,4375076391.73,493847.0,Tadwul All Share Index (TASI),2025-08,2025Q3,-0.5854612893546052
2025-08-13,10779.44,10815.21,10745.82,10763.45,206090470.0,4203908991.84,487036.0,Tadwul All Share Index (TASI),2025-08,2025Q3,-0.6474308147160768
2025-08-12,10783.28,10804.45,10747.92,10769.66,188393318.0,4083041755.94,479308.0,Tadwul All Share Index (TASI),2025-08,2025Q3,0.05769525570331613
2025-08-11,10886.91,10887.59,10791.64,10791.64,207721140.0,4655024400.02,548063.0,Tadwul All Share Index (TASI),2025-08,2025Q3,0.2040918654813595
2025-08-10,10924.68,10929.29,10887.72,10899.11,169217871.0,3511803753.93,378346.0,Tadwul All Share Index (TASI),2025-08,2025Q3,0.9958634646819231
2025-08-07,10932.41,10938.56,10911.86,10930.3,230849593.0,4539689313.34,485434.0,Tadwul All Share Index (TASI),2025-08,2025Q3,0.28617015517780064
2025-08-06,10922.17,10949.54,10909.56,10946.74,258764704.0,4795819433.94,472141.0,Tadwul All Share Index (TASI),2025-08,2025Q3,0.15040758259152742
2025-08-05,10837.97,10921.85,10816.12,10921.85,271129488.0,5495691466.66,516785.0,Tadwul All Share Index (TASI),2025-08,2025Q3,-0.22737362904389213
2025-08-04,10796.48,10839.45,10725.34,10839.45,259569632.0,4922304407.42,527615.0,Tadwul All Share Index (TASI),2025-08,2025Q3,-0.7544509400879806
2025-08-03,10890.24,10890.53,10772.86,10833.1,196700059.0,3392119997.53,389265.0,Tadwul All Share Index (TASI),2025-08,2025Q3,-0.05858230814294041
2025-07-31,10907.3,10920.27,10852.32,10920.27,260414044.0,4384033655.69,475904.0,Tadwul All Share Index (TASI),2025-07,2025Q3,0.8046634850596757
2025-07-30,10818.94,10914.38,10779.11,10914.38,268349723.0,4318425399.74,453856.0,Tadwul All Share Index (TASI),2025-07,2025Q3,-0.053936395345544064
2025-07-29,10894.36,10898.61,10791.22,10823.91,231676766.0,4409594362.76,487715.0,Tadwul All Share Index (TASI),2025-07,2025Q3,-0.8289064518552491
2025-07-28,10943.19,10977.37,10885.32,10885.32,264187109.0,4614455949.63,475270.0,Tadwul All Share Index (TASI),2025-07,2025Q3,0.5673550500697067
2025-07-27,10956.37,10976.56,10944.22,10956.22,210232683.0,3467868153.3,381030.0,Tadwul All Share Index (TASI),2025-07,2025Q3,0.6513359276530295
2025-07-24,10996.53,11013.18,10921.2,10945.8,264629115.0,4925502418.62,507428.0,Tadwul All Share Index (TASI),2025-07,2025Q3,-0.09510579378654294
2025-07-23,10844.31,10983.93,10831.35,10983.93,283643909.0,5340001527.41,494675.0,Tadwul All Share Index (TASI),2025-07,2025Q3,0.348352792852058
2025-07-22,10990.83,10995.11,10838.86,10843.2,256819722.0,4925254731.47,530709.0,Tadwul All Share Index (TASI),2025-07,2025Q3,-1.2812354048141184
2025-07-21,10982.48,11002.57,10932.33,10981.17,177499758.0,4341811402.64,492893.0,Tadwul All Share Index (TASI),2025-07,2025Q3,1.2724103585657343
2025-07-20,11020.94,11085.43,10958.75,10964.71,155888124.0,3214282752.27,370353.0,Tadwul All Share Index (TASI),2025-07,2025Q3,-0.14989295311884643
2025-07-17,11033.02,11042.01,10977.62,11006.98,185931874.0,4199032358.2,469483.0,Tadwul All Share Index (TASI),2025-07,2025Q3,0.38550951187947824
2025-07-16,11090.01,11130.87,11030.82,11038.74,178236097.0,4026270736.84,470721.0,Tadwul All Share Index (TASI),2025-07,2025Q3,0.2885441783304854
2025-07-15,11200.65,11209.19,11068.23,11095.41,200868606.0,4520191130.72,452338.0,Tadwul All Share Index (TASI),2025-07,2025Q3,0.5133738089673212
2025-07-14,11255.01,11257.42,11166.87,11213.59,210416673.0,4549756603.4,499162.0,Tadwul All Share Index (TASI),2025-07,2025Q3,1.0651251283188223
2025-07-13,11279.13,11310.16,11229.8,11252.9,210647474.0,4041771177.66,423048.0,Tadwul All Share Index (TASI),2025-07,2025Q3,0.3505567797645437
2025-07-10,11271.68,11306.07,11256.21,11276.91,213722354.0,4960203124.37,477357.0,Tadwul All Share Index (TASI),2025-07,2025Q3,0.21336722089417837
2025-07-09,11291.56,11297.93,11238.45,11277.73,242448965.0,5486786664.46,513023.0,Tadwul All Share Index (TASI),2025-07,2025Q3,0.007271495471727896
2025-07-08,11334.89,11351.9,11275.79,11294.07,268016745.0,5322618904.03,540216.0,Tadwul All Share Index (TASI),2025-07,2025Q3,0.14488731331572247
2025-07-07,11320.59,11370.44,11299.97,11345.46,251526640.0,5562054354.2,519651.0,Tadwul All Share Index (TASI),2025-07,2025Q3,0.4550175446052629
2025-07-06,11239.31,11322.6,11211.82,11315.73,210552177.0,4327502469.91,397762.0,Tadwul All Share Index (TASI),2025-07,2025Q3,-0.26204314324848044
2025-07-03,11142.68,11244.45,11135.62,11244.45,303074006.0,5625805139.14,518341.0,Tadwul All Share Index (TASI),2025-07,2025Q3,-0.6299195898099241
2025-07-02,11129.76,11159.44,11095.94,11129.64,325985689.0,5410530960.1,499333.0,Tadwul All Share Index (TASI),2025-07,2025Q3,-1.0210370449421857
2025-07-01,11188.26,11198.88,11104.69,11121.6,283267419.0,5577315987.4,508280.0,Tadwul All Share Index (TASI),2025-07,2025Q3,-0.0722395333541681
2025-06-30,11204.25,11227.32,11163.96,11163.96,291254464.0,7365062688.87,650075.0,Tadwul All Share Index (TASI),2025-06,2025Q2,0.3808804488562689
2025-06-29,11105.54,11202.64,11094.65,11202.64,234711667.0,5080317630.2,458812.0,Tadwul All Share Index (TASI),2025-06,2025Q2,0.34647204038711354
2025-06-26,10977.67,11068.27,10937.1,11068.27,299685843.0,5728715584.51,525388.0,Tadwul All Share Index (TASI),2025-06,2025Q2,-1.1994494154949131
2025-06-25,10999.5,11011.49,10914.8,10973.98,276736004.0,6106196879.5,599389.0,Tadwul All Share Index (TASI),2025-06,2025Q2,-0.8518946502028002
2025-06-24,10883.79,10964.28,10848.09,10964.28,416739113.0,8483355598.57,641064.0,Tadwul All Share Index (TASI),2025-06,2025Q2,-0.08839090284471496
2025-06-23,10587.63,10712.18,10587.09,10710.24,219006786.0,4052884530.25,443005.0,Tadwul All Share Index (TASI),2025-06,2025Q2,-2.31697840624282
2025-06-22,10604.52,10730.86,10572.64,10574.27,225218263.0,3721663632.18,404194.0,Tadwul All Share Index (TASI),2025-06,2025Q2,-1.2695327088842023
2025-06-19,10582.37,10633.85,10529.05,10610.71,260491986.0,6409606937.62,485616.0,Tadwul All Share Index (TASI),2025-06,2025Q2,0.34461007710224756
2025-06-18,10675.71,10678.74,10572.48,10591.13,219988085.0,6228936991.92,615550.0,Tadwul All Share Index (TASI),2025-06,2025Q2,-0.18453053565690158
2025-06-17,10859.93,10876.03,10713.82,10713.82,239796161.0,4971667139.91,554585.0,Tadwul All Share Index (TASI),2025-06,2025Q2,1.1584221891337343
2025-06-16,10755.9,10925.78,10753.83,10867.04,254109129.0,4875148085.87,525601.0,Tadwul All Share Index (TASI),2025-06,2025Q2,1.430115495686901
2025-06-15,10429.67,10784.77,10429.11,10731.59,271989987.0,5154617342.57,497126.0,Tadwul All Share Index (TASI),2025-06,2025Q2,-1.2464295705178263
2025-06-12,10963.42,10963.87,10810.04,10840.94,245160686.0,5346639268.71,612354.0,Tadwul All Share Index (TASI),2025-06,2025Q2,1.0189543208415586
2025-06-11,11090.38,11165.09,10972.11,11005.02,238188515.0,5629682838.25,536196.0,Tadwul All Share Index (TASI),2025-06,2025Q2,1.5135218901682013
2025-06-04,10861.08,11005.48,10858.48,11004.53,185482744.0,4619250454.14,458801.0,Tadwul All Share Index (TASI),2025-06,2025Q2,-0.004452513489294763
2025-06-03,10874.76,10882.96,10832.43,10832.43,171942966.0,3557347880.5,427408.0,Tadwul All Share Index (TASI),2025-06,2025Q2,-1.5639014115096272
2025-06-02,10846.12,10883.26,10816.8,10850.09,173270621.0,4048403546.49,462706.0,Tadwul All Share Index (TASI),2025-06,2025Q2,0.16302897872406685
2025-06-01,11005.79,11009.74,10792.03,10825.27,146655484.0,4281255674.28,380985.0,Tadwul All Share Index (TASI),2025-06,2025Q2,-0.22875386287117827
2025-05-29,11097.28,11107.76,10970.78,10990.41,340316094.0,10206953772.15,529488.0,Tadwul All Share Index (TASI),2025-05,2025Q2,1.5255046756339485
2025-05-28,10943.5,11082.57,10936.84,11052.76,170023844.0,4575192027.45,453993.0,Tadwul All Share Index (TASI),2025-05,2025Q2,0.5673127754105556
2025-05-27,11081.99,11086.65,10893.06,10925.18,198931043.0,5112902817.2,539286.0,Tadwul All Share Index (TASI),2025-05,2025Q2,-1.1542818264397292
2025-05-26,11035.34,11075.96,10946.94,11075.96,191271511.0,4323766399.18,457260.0,Tadwul All Share Index (TASI),2025-05,2025Q2,1.3801145610415455
2025-05-25,11201.26,11207.76,10999.78,10999.78,141540629.0,3441990291.19,375676.0,Tadwul All Share Index (TASI),2025-05,2025Q2,-0.6877959111444842
2025-05-22,11270.28,11273.65,11179.16,11188.74,181205106.0,4402119085.23,477033.0,Tadwul All Share Index (TASI),2025-05,2025Q2,1.717852538868958
2025-05-21,11421.01,11449.26,11303.68,11303.68,179351407.0,4372981988.02,468741.0,Tadwul All Share Index (TASI),2025-05,2025Q2,1.027282786086725
2025-05-20,11397.58,11457.64,11371.53,11438.18,193591072.0,4850990501.62,474698.0,Tadwul All Share Index (TASI),2025-05,2025Q2,1.1898779866379883
2025-05-19,11433.95,11445.91,11370.73,11405.28,237138989.0,4827637777.68,494344.0,Tadwul All Share Index (TASI),2025-05,2025Q2,-0.2876331724102954
2025-05-18,11492.4,11516.39,11430.76,11438.94,153903616.0,3688676242.66,403893.0,Tadwul All Share Index (TASI),2025-05,2025Q2,0.29512646774125795
2025-05-15,11527.22,11545.52,11458.38,11485.05,229255404.0,5281897222.15,472575.0,Tadwul All Share Index (TASI),2025-05,2025Q2,0.4030967904368632
2025-05-14,11529.17,11551.32,11486.76,11532.0,272638018.0,5996528575.97,523735.0,Tadwul All Share Index (TASI),2025-05,2025Q2,0.4087922995546389
2025-05-13,11528.37,11532.27,11477.71,11532.27,227504449.0,5372012918.26,534272.0,Tadwul All Share Index (TASI),2025-05,2025Q2,0.002341311134235191
2025-05-12,11388.06,11519.46,11388.06,11488.6,312647737.0,6139724813.5,534272.0,Tadwul All Share Index (TASI),2025-05,2025Q2,-0.37867653115994937
2025-05-11,11401.81,11426.74,11334.4,11346.59,152823215.0,3324474512.22,380560.0,Tadwul All Share Index (TASI),2025-05,2025Q2,-1.23609491147747
2025-05-08,11437.0,11454.94,11334.48,11364.11,198812033.0,4716967624.47,530118.0,Tadwul All Share Index (TASI),2025-05,2025Q2,0.15440762378828854
2025-05-07,11430.17,11459.78,11389.05,11398.74,210172237.0,4813178875.96,468072.0,Tadwul All Share Index (TASI),2025-05,2025Q2,0.3047312987994655
2025-05-06,11429.35,11480.78,11396.2,11434.08,215939362.0,4581656621.41,486894.0,Tadwul All Share Index (TASI),2025-05,2025Q2,0.31003426694529157
2025-05-05,11392.23,11454.02,11313.8,11422.95,257101302.0,5225047654.36,527265.0,Tadwul All Share Index (TASI),2025-05,2025Q2,-0.09734058183954453
2025-05-04,11546.32,11564.68,11411.5,11411.5,189197121.0,3541470323.68,416213.0,Tadwul All Share Index (TASI),2025-05,2025Q2,-0.10023680397795998
2025-05-01,11664.17,11668.19,11504.18,11543.67,236691499.0,5092358648.45,527985.0,Tadwul All Share Index (TASI),2025-05,2025Q2,1.1582175875213707
2025-04-30,11749.35,11765.96,11653.28,11671.58,290063754.0,6946081321.58,600042.0,Tadwul All Share Index (TASI),2025-04,2025Q2,1.1080531581377562
2025-04-29,11792.48,11809.4,11745.84,11746.2,324443310.0,6875529799.79,595979.0,Tadwul All Share Index (TASI),2025-04,2025Q2,0.6393307504211077
2025-04-28,11769.96,11796.17,11738.3,11784.63,357444424.0,6486890619.77,617089.0,Tadwul All Share Index (TASI),2025-04,2025Q2,0.3271696378403188
2025-04-27,11790.35,11800.71,11748.1,11756.21,248107922.0,4271760291.91,453657.0,Tadwul All Share Index (TASI),2025-04,2025Q2,-0.2411615808048273
2025-04-24,11694.05,11774.72,11684.14,11764.39,371675501.0,6951801257.44,567895.0,Tadwul All Share Index (TASI),2025-04,2025Q2,0.06958024737564461
2025-04-23,11667.62,11714.41,11656.56,11681.11,261260465.0,6066644853.58,511327.0,Tadwul All Share Index (TASI),2025-04,2025Q2,-0.7078990070883306
2025-04-22,11554.5,11606.53,11523.83,11586.4,229096059.0,5412413622.99,533859.0,Tadwul All Share Index (TASI),2025-04,2025Q2,-0.8107962342619901
2025-04-21,11633.71,11642.16,11543.17,11548.66,157793239.0,3576997789.0,467512.0,Tadwul All Share Index (TASI),2025-04,2025Q2,-0.325726714078578
2025-04-20,11574.75,11636.32,11574.2,11626.6,175690485.0,3576339683.14,385248.0,Tadwul All Share Index (TASI),2025-04,2025Q2,0.6748834929766856
2025-04-17,11595.23,11609.96,11543.28,11552.98,276845692.0,4725475405.18,554183.0,Tadwul All Share Index (TASI),2025-04,2025Q2,-0.633203172036545
2025-04-16,11606.9,11637.21,11559.49,11634.42,316789595.0,5792384390.04,583234.0,Tadwul All Share Index (TASI),2025-04,2025Q2,0.7049263480071843
2025-04-15,11618.78,11641.59,11595.01,11616.81,335349940.0,6348171985.01,655296.0,Tadwul All Share Index (TASI),2025-04,2025Q2,-0.15136121955371395
2025-04-14,11605.77,11608.87,11559.22,11597.35,383494457.0,6462242999.49,661445.0,Tadwul All Share Index (TASI),2025-04,2025Q2,-0.16751586709259358
2025-04-13,11565.59,11616.98,11558.99,11592.52,275414978.0,4787334529.01,528476.0,Tadwul All Share Index (TASI),2025-04,2025Q2,-0.04164744532155762
2025-04-10,11603.81,11605.09,11415.39,11502.54,424212068.0,8327112214.87,685120.0,Tadwul All Share Index (TASI),2025-04,2025Q2,-0.7761901640022995
2025-04-09,11272.86,11367.01,11066.73,11096.65,351950349.0,6838118295.33,688893.0,Tadwul All Share Index (TASI),2025-04,2025Q2,-3.528698878682457
2025-04-08,11393.87,11533.11,11302.76,11302.76,419314508.0,7977363559.05,700123.0,Tadwul All Share Index (TASI),2025-04,2025Q2,1.8574074157515996
2025-04-07,10847.73,11225.2,10657.2,11194.02,491723709.0,10562886038.24,928391.0,Tadwul All Share Index (TASI),2025-04,2025Q2,-0.96206590248753
2025-04-06,11277.81,11348.99,11077.19,11077.19,345539797.0,8432484693.21,756868.0,Tadwul All Share Index (TASI),2025-04,2025Q2,-1.0436822517737143
2025-04-03,11866.36,12007.26,11836.96,11882.65,227841898.0,5538146394.24,574938.0,Tadwul All Share Index (TASI),2025-04,2025Q2,7.2713386698251
2025-03-27,11972.79,12075.11,11970.15,12025.05,234196812.0,6025374701.83,564217.0,Tadwul All Share Index (TASI),2025-03,2025Q1,1.198385881937103
2025-03-26,11727.88,11970.19,11727.88,11970.19,237237254.0,6189681516.23,571923.0,Tadwul All Share Index (TASI),2025-03,2025Q1,-0.4562143192751722
2025-03-25,11790.27,11798.88,11706.21,11706.21,234772361.0,5473879828.01,559027.0,Tadwul All Share Index (TASI),2025-03,2025Q1,-2.205311695136014
2025-03-24,11711.67,11778.08,11669.54,11778.08,160364317.0,4259588406.12,433664.0,Tadwul All Share Index (TASI),2025-03,2025Q1,0.6139476397570176
2025-03-23,11753.94,11782.83,11694.74,11694.77,113328794.0,2641504453.73,313122.0,Tadwul All Share Index (TASI),2025-03,2025Q1,-0.7073309062258004
2025-03-20,11719.11,11763.81,11681.86,11760.32,216814076.0,5898257305.61,427793.0,Tadwul All Share Index (TASI),2025-03,2025Q1,0.5605069616589242
2025-03-19,11784.39,11787.46,11665.67,11709.43,188000038.0,4557259197.12,479843.0,Tadwul All Share Index (TASI),2025-03,2025Q1,-0.43272632037223424
