Date,Open,High,Low,Close,Value Traded (SAR),Number of Trades,Size,Month,Quarter,Daily_Return_Pct
2025-11-30,4252.99,4266.3,4213.93,4213.96,597291534.52,73942,Tadawul Medium Cap Index,2025-11,2025Q4,0.24216300567585503
2025-11-27,4246.43,4265.65,4231.9,4248.77,1177134862.8,110780,Tadawul Medium Cap Index,2025-11,2025Q4,0.8260638449344659
2025-11-26,4260.55,4264.67,4221.26,4243.98,2330167367.41,131819,Tadawul Medium Cap Index,2025-11,2025Q4,-0.11273851020414671
2025-11-25,4332.55,4348.75,4271.66,4271.66,1105114419.39,110876,Tadawul Medium Cap Index,2025-11,2025Q4,0.6522179652119098
2025-11-24,4382.69,4384.95,4340.36,4340.36,2508821096.92,123392,Tadawul Medium Cap Index,2025-11,2025Q4,1.6082740667562545
2025-11-23,4401.89,4411.33,4388.67,4391.89,511988009.91,57058,Tadawul Medium Cap Index,2025-11,2025Q4,1.187228709139343
2025-11-20,4392.38,4404.98,4377.91,4398.85,950920360.98,101063,Tadawul Medium Cap Index,2025-11,2025Q4,0.1584739144195435
2025-11-19,4443.75,4457.79,4389.33,4389.87,952105393.09,108683,Tadawul Medium Cap Index,2025-11,2025Q4,-0.20414426497835647
2025-11-18,4407.12,4443.32,4396.4,4438.88,993483569.43,135605,Tadawul Medium Cap Index,2025-11,2025Q4,1.1164339718488403
2025-11-17,4436.58,4458.66,4403.91,4418.15,1065716486.39,119684,Tadawul Medium Cap Index,2025-11,2025Q4,-0.4670096961395753
2025-11-16,4489.2,4492.87,4444.66,4449.39,589819038.43,67980,Tadawul Medium Cap Index,2025-11,2025Q4,0.7070832814639827
2025-11-13,4515.34,4530.04,4501.24,4501.24,1046533865.77,125112,Tadawul Medium Cap Index,2025-11,2025Q4,1.1653282809553467
2025-11-12,4520.05,4547.96,4514.95,4521.78,1528940360.45,125856,Tadawul Medium Cap Index,2025-11,2025Q4,0.45631870329065904
2025-11-11,4521.23,4527.55,4499.56,4520.36,1089719493.17,122029,Tadawul Medium Cap Index,2025-11,2025Q4,-0.03140356231395858
2025-11-10,4511.99,4523.37,4506.37,4517.26,1132605005.6,130841,Tadawul Medium Cap Index,2025-11,2025Q4,-0.06857860878335398
2025-11-09,4534.82,4537.38,4495.47,4515.35,799621525.36,85365,Tadawul Medium Cap Index,2025-11,2025Q4,-0.04228226845476302
2025-11-06,4518.09,4557.12,4516.25,4549.22,1291235445.53,140597,Tadawul Medium Cap Index,2025-11,2025Q4,0.7501079650525488
2025-11-05,4582.85,4585.03,4515.85,4515.85,1544310724.48,166326,Tadawul Medium Cap Index,2025-11,2025Q4,-0.7335323418080408
2025-11-04,4642.81,4652.71,4597.55,4597.99,1745462335.04,151885,Tadawul Medium Cap Index,2025-11,2025Q4,1.8189266693977801
2025-11-03,4678.63,4681.12,4630.77,4638.36,1917458457.45,170207,Tadawul Medium Cap Index,2025-11,2025Q4,0.8779923401312395
2025-11-02,4702.26,4707.3,4673.73,4673.73,808927186.64,80142,Tadawul Medium Cap Index,2025-11,2025Q4,0.7625540061573455
2025-10-30,4720.86,4746.29,4699.98,4711.26,2294533856.86,170433,Tadawul Medium Cap Index,2025-10,2025Q4,0.8029988895379203
2025-10-29,4692.49,4723.62,4691.29,4723.62,1623695169.17,130149,Tadawul Medium Cap Index,2025-10,2025Q4,0.26235019930973547
